date,interval,hour,actual_net_kw,emergency_kw,forecast_00_kw,forecast_06_kw,forecast_12_kw,forecast_18_kw
2025-06-21,17,2.8333333333333335,2936.24,229.5,2706.74,,,
2025-06-21,18,3.0,2920.1882,152.6781000000003,2767.5100999999995,,,
2025-06-21,19,3.1666666666666665,2951.0328,124.44929999999977,2826.5835,,,
2025-06-21,20,3.3333333333333335,2977.51,156.12999999999988,2821.38,,,
2025-06-21,21,3.5,2780.2817999999997,0.0,2923.5019999999995,,,
2025-06-21,22,3.6666666666666665,2728.3058999999994,0.0,2996.6877,,,
2025-06-21,23,3.8333333333333335,2862.1899999999996,0.0,2885.8,,,
2025-06-21,24,4.0,2845.6919000000003,238.17911666666703,2607.512783333333,,,
2025-06-21,25,4.166666666666667,2748.951,149.01943333333338,2599.9315666666666,,,
2025-06-21,26,4.333333333333333,2677.31,0.0,2796.4072499999997,,,
2025-06-21,27,4.5,2657.7196999999996,0.0,2716.2026333333333,,,
2025-06-21,28,4.666666666666667,2702.3205,66.90528333333327,2635.4152166666663,,,
2025-06-21,29,4.833333333333333,2725.045,99.2705000000002,2625.7745,,,
2025-06-21,30,5.0,2547.9523,194.4581833333334,2353.4941166666663,,,
2025-06-21,31,5.166666666666667,2342.9007,55.221366666666086,2287.679333333334,,,
2025-06-21,32,5.333333333333333,2225.0750000000003,0.0,2400.35635,,,
2025-06-21,33,5.5,2157.4679999999985,0.0,2296.2271666666666,,,
2025-06-21,34,5.666666666666667,2022.2095,0.0,2072.0703833333337,,,
2025-06-21,35,5.833333333333333,1850.9399999999996,0.0,1909.4382,,,
2025-06-21,36,6.0,1751.7749999999999,89.40626597542291,1725.5295166666663,1662.368734024577,,
2025-06-21,37,6.166666666666667,1478.8282,0.0,1391.4280333333336,1304.3891504391281,,
2025-06-21,38,6.333333333333333,998.1075,183.4044675540398,925.63105,814.7030324459602,,
2025-06-21,39,6.5,584.3110999999999,76.63320311734151,642.5056666666661,507.6778968826584,,
2025-06-21,40,6.666666666666667,517.2726000000005,95.42555515971605,580.5847833333336,421.8470448402844,,
2025-06-21,41,6.833333333333333,605.0199999999995,189.24363774178119,598.4339000000001,415.77636225821834,,
2025-06-21,42,7.0,379.6937999999998,10.113112836802884,528.5726333333331,369.5806871631969,,
2025-06-21,43,7.166666666666667,131.5661,5.389889779934265,261.511666666667,126.17621022006574,,
2025-06-21,44,7.333333333333333,-50.03749999999968,0.0,-77.28380000000061,-188.97152473827623,,
2025-06-21,45,7.5,-377.8006999999998,0.0,-293.47456666666744,-381.5229868676172,,
2025-06-21,46,7.666666666666667,-697.8223,0.0,-513.6091333333334,-578.0263578217725,,
2025-06-21,47,7.833333333333333,-941.0649999999998,0.0,-759.0815000000002,-799.8753312804515,,
2025-06-21,48,8.0,-1172.7127000000003,0.0,-795.3315833333329,-867.0684958283043,,
2025-06-21,49,8.166666666666666,-1280.8112999999996,0.0,-916.8405666666672,-1019.5277845177911,,
2025-06-21,50,8.333333333333334,-1321.1099999999997,0.0,-1109.1029500000002,-1242.7474244485556,,
2025-06-21,51,8.5,-1448.8976,0.0,-1163.302433333333,-1327.910853029376,,
2025-06-21,52,8.666666666666666,-1378.5776000000005,0.0,-1054.3810166666672,-1249.9598175887159,,
2025-06-21,53,8.833333333333334,-1095.455,0.0,-874.7144000000003,-1101.269775,,
2025-06-21,54,9.0,-961.0523000000001,0.0,-1037.068116666665,-1190.3763246543774,,
2025-06-21,55,9.166666666666666,-1289.8198000000007,0.0,-1320.8785333333346,-1400.9453081137685,,
2025-06-21,56,9.333333333333334,-1969.7125000000003,0.0,-1740.3276500000002,-1747.1585087770204,,
2025-06-21,57,9.5,-2526.7094,0.0,-2258.633266666666,-2192.2335182253364,,
2025-06-21,58,9.666666666666666,-2697.1571000000004,0.0,-2703.4221833333354,-2563.7969359131903,,
2025-06-21,59,9.833333333333334,-2643.3975,0.0,-2979.2609,-2766.415068870891,,
2025-06-21,60,10.0,-2763.7852,0.0,-2923.0818666666664,-2686.4277314184014,,
2025-06-21,61,10.166666666666666,-2934.1027999999997,0.0,-3133.436733333333,-2872.9788448899662,,
2025-06-21,62,10.333333333333334,-3099.0775000000003,0.0,-3478.0653999999995,-3193.8081373691375,,
2025-06-21,63,10.5,-3367.087400000001,0.0,-3494.8287666666665,-3186.7763434338094,,
2025-06-21,64,10.666666666666666,-3677.5579,0.0,-3564.2284333333328,-3232.3849039108854,,
2025-06-21,65,10.833333333333334,-3720.89,0.0,-3849.6299,-3493.999165640226,,
2025-06-21,66,11.0,-3360.965,0.0,-4102.178666666667,-3679.2934645808195,,
