date,planned_cost_yuan,emergency_cost_yuan,emergency_energy_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,soc_link_residual_kwh
2025-04-09,40074.09893009917,5843.763093746593,1499.1150153843985,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-04-10,35849.49269169636,3485.398857763757,803.7202558168888,8550.0,3868.4320618186503,1199.9999999999982,10800.0,0.0
2025-04-11,14754.981525254214,1290.983638632581,402.5351779150459,3868.4320618186503,3810.733128024677,1200.0000000000005,10800.0,0.0
2025-04-12,19140.36077240797,213.58478108403753,90.26095306772709,3810.733128024677,8550.0,1200.0,10800.0,0.0
2025-04-13,38948.672238449166,2528.9548053104163,575.1273630660933,8550.0,8550.0,1200.0,10800.0,0.0
2025-04-14,37590.68877462074,3598.2643812029105,827.0840323836715,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-04-15,37146.25728452834,2011.568733898363,461.13814061343885,8550.0,8550.0,1200.000000000001,10800.0,0.0
2025-04-16,39255.86858377001,895.4064125679688,227.75304969204086,8550.0,8550.0,1200.0000000000027,10800.0,0.0
2025-04-17,34139.352393618305,1836.4927232102655,603.1630664020649,8550.0,3398.289739834516,1199.999999999999,10800.000000000004,0.0
2025-04-18,14575.405469407073,828.8305090959637,284.33567001015933,3398.289739834516,3344.6163444872473,1199.9999999999968,10799.999999999998,0.0
2025-04-19,19603.483506510845,20.540687078301932,5.374329429173713,3344.6163444872473,8550.0,1199.9999999999995,10800.000000000005,0.0
2025-04-20,37784.180572562014,1659.5305123042908,389.4302542930017,8550.0,8550.0,1200.0000000000018,10800.0,0.0
2025-04-21,36803.207387725764,1329.8028865922176,354.7028627026923,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-04-22,32298.779262713215,12521.061874238087,3788.2367748855986,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-04-23,37712.58717268188,940.9910778942187,233.8114170322582,8550.0,8550.0,1200.0000000000036,10800.000000000004,0.0
2025-04-24,33200.99205535881,936.4756717188839,227.69515350475467,8550.0,3045.5600105857343,1200.0,10800.0,0.0
2025-04-25,14165.128727502512,264.47961796658785,121.94601423298263,3045.5600105857343,3313.3118403343897,1200.0000000000002,10800.000000000002,0.0
2025-04-26,17473.651523321798,429.8025208782284,97.19186396242205,3313.3118403343897,8550.0,1200.0,10800.0,0.0
2025-04-27,33227.630637053066,7537.378208607173,1727.4938397664362,8550.0,8550.0,1200.0000000000045,10800.0,0.0
2025-04-28,33167.112176971874,23254.5209518575,6540.394690566521,8550.0,8550.0,1200.0000000000027,10800.0,0.0
2025-04-29,37485.38715025238,3250.138122238984,747.2496214544348,8550.0,8550.0,1200.000000000001,10800.0,0.0
2025-04-30,34527.36632824957,2967.766429690387,788.8498889019481,8550.0,8550.0,1200.0,10800.0,0.0
2025-05-01,31991.955728451623,14139.430194848564,3220.5284962705346,8550.0,2715.0458941558213,1200.0000000000064,10800.000000000004,0.0
2025-05-02,13316.557877703997,12231.509980641378,2753.9022129769814,2715.0458941558213,2633.4339860033483,1199.9999999999986,10800.0,0.0
2025-05-03,16656.554957657143,7883.614921605513,1648.7885063332715,2633.4339860033483,8550.000000000002,1199.9999999999986,10799.999999999998,0.0
2025-05-04,35784.32986514494,12322.717863921935,3595.8151091658037,8550.000000000002,8550.0,1200.000000000009,10800.000000000007,0.0
2025-05-05,39300.9398060845,12239.211830154542,2736.024277328802,8550.0,8550.0,1200.0000000000036,10800.000000000004,0.0
2025-05-06,35381.57439314318,15023.117264931683,3420.389136173695,8550.0,8550.0,1200.0000000000073,10800.000000000005,0.0
2025-05-07,35028.81292647954,21031.265644410545,4558.54881578022,8550.0,8550.0,1200.0000000000045,10800.000000000004,0.0
2025-05-08,35870.49216982001,8229.76893981277,2436.359927700413,8550.0,3102.5730410306837,1200.0,10800.0,0.0
2025-05-09,16720.93801655611,860.1841933201492,273.8861171488707,3102.5730410306837,2907.0996508967028,1199.9999999999995,10800.0,0.0
2025-05-10,18733.787991936515,1577.1881213339045,423.9074995266082,2907.0996508967028,8550.0,1199.9999999999977,10799.999999999996,0.0
2025-05-11,38118.294093768585,7481.86347535598,1692.8045724393237,8550.0,8550.0,1200.0,10800.0,0.0
2025-05-12,39949.46780493373,3419.670021984928,1320.2987890787706,8550.0,8550.0,1200.0000000000018,10800.000000000002,0.0
2025-05-13,38648.66492821263,3357.9836348937697,1170.823410266701,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-05-14,40413.220482236255,708.4745477177019,316.3622537099152,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-05-15,37460.625483074036,3874.698975419481,962.6480100924966,8550.0,3015.632233518828,1200.0000000000018,10800.000000000002,0.0
2025-05-16,15767.806736791936,1629.276909930334,579.2162693023286,3015.632233518828,2922.9282017896285,1200.0,10799.999999999998,0.0
2025-05-17,18561.658120272863,1522.914524003581,472.9709737570887,2922.9282017896285,8550.0,1199.9999999999986,10800.0,0.0
2025-05-18,40089.24776210138,2634.7139077945258,879.947232061406,8550.0,8550.0,1200.0,10800.0,0.0
2025-05-19,38137.0676293672,3734.7113396833674,745.0504306634951,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-05-20,39035.64255143082,4231.940392394846,1098.7869938641732,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-05-21,38660.930336845806,4501.787259953709,1190.9641525380052,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-05-22,35986.44108421456,1897.4436057491353,410.1095445651776,8550.0,2113.546115194145,1200.0,10800.0,0.0
2025-05-23,15130.735388043922,1259.936411091453,371.4085537048869,2113.546115194145,1997.0842191746183,1200.0000000000005,10800.000000000002,0.0
2025-05-24,18985.195834531823,720.5498522748431,220.75694860710945,1997.0842191746183,8550.0,1199.9999999999986,10799.999999999998,0.0
2025-05-25,38748.12370359764,2487.9296028318668,574.3004553531101,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-05-26,36021.387939601926,10469.982711444369,3476.1788393161823,8550.0,8550.0,1200.0000000000055,10800.000000000005,0.0
2025-05-27,39383.3268722231,893.8931905632878,262.9917863408856,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-05-28,37939.358916181685,4745.378218847035,1483.7080852284005,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-05-29,34512.861778013044,5967.76752831169,1386.8801249674639,8550.0,2148.078314814815,1200.0,10800.0,0.0
2025-05-30,14845.31894486686,2140.788076773445,517.6622571535536,2148.078314814815,2006.73275248146,1200.0000000000002,10800.000000000002,0.0
2025-05-31,17614.71243692711,2570.47050126671,684.4050591163139,2006.73275248146,8550.0,1199.9999999999993,10800.0,0.0
2025-06-01,36207.69992957917,59165.19834268833,15421.765740514502,8550.0,8550.0,1200.000000000001,10800.0,0.0
2025-06-02,39570.466381195525,41342.08073588478,9895.354881717813,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-06-03,36887.381428854605,44884.91342342672,11164.975283901655,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-06-04,38457.66149207391,43705.67012274866,10872.357213976213,8550.0,8550.0,1200.0000000000064,10800.000000000004,0.0
2025-06-05,36946.380859774894,41461.72791491262,10852.459987110415,8550.0,2456.1166935669044,1200.0,10800.0,0.0
2025-06-06,15246.28175735984,34045.69849481458,9091.864844147454,2456.1166935669044,2434.135408242837,1199.9999999999998,10800.000000000002,0.0
2025-06-07,17803.600913732753,30946.99443706753,7904.059527169036,2434.135408242837,8550.0,1200.0000000000002,10800.000000000002,0.0
2025-06-08,51938.29914795479,2046.3718641897099,564.0561941919814,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-06-09,50411.28076373115,5735.699314603811,1908.281359861684,8550.0,8550.0,1200.000000000001,10800.000000000004,0.0
2025-06-10,50434.4431251096,5844.855194309199,1844.2231671353888,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-06-11,50721.867209189535,14404.206937931187,3202.691696691386,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-06-12,51490.128452493576,3750.976398372193,905.7681252750541,8550.0,7509.221593231456,1200.0,10800.000000000002,0.0
2025-06-13,25794.75706162959,1934.1777051626045,405.81335208752375,7509.221593231456,8299.989499325398,1200.0000000000055,10800.000000000005,0.0
2025-06-14,24978.505096203808,1074.5792892892903,295.1081014645116,8299.989499325398,8550.0,1200.0000000000055,10800.000000000004,0.0
2025-06-15,47997.776651256325,13688.17991405111,3121.331033368577,8550.0,8550.0,1199.9999999999955,10800.0,0.0
2025-06-16,52183.19976718822,4842.666178950762,1184.465310983414,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-06-17,52398.34608654366,7549.354041084927,1752.1048927759862,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-06-18,56287.543427272874,633.1120018456342,206.30428018271402,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-06-19,52546.22653244616,2150.5837312962503,592.56094694119,8550.0,7070.202548800231,1199.999999999999,10800.0,0.0
2025-06-20,22638.529867816975,648.3314297374476,212.93052667939673,7070.202548800231,4953.953334621782,1200.0,10799.999999999998,0.0
2025-06-21,24923.969937363392,596.6348050583347,196.5216500000004,4953.953334621782,8550.0,1200.0000000000082,10800.000000000007,0.0
2025-06-22,52132.40266026649,889.7277611499997,338.1180333333334,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-06-23,53014.13832721907,954.7857810644671,355.3312549451799,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-06-24,54614.53766463984,8901.07713202745,2072.1767409765735,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-06-25,51475.38476606576,3419.9072463714365,957.5331092244124,8550.0,8550.0,1199.999999999999,10800.000000000002,0.0
2025-06-26,47702.77678258655,2770.488288746983,694.6986173591531,8550.0,3334.735525678692,1200.0000000000018,10800.000000000004,0.0
2025-06-27,20915.702531850184,793.8113710684727,264.0965897334435,3334.735525678692,3028.3945859641253,1199.9999999999995,10799.999999999998,0.0
2025-06-28,22396.70626237602,2764.4551918639227,687.6804181438744,3028.3945859641253,8550.0,1200.0000000000002,10800.0,0.0
2025-06-29,49083.783440642714,7444.6900627082505,1791.517835635737,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-06-30,49676.88740883927,7516.572024916666,2012.698883333333,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-07-01,55946.727037218894,20137.09259057619,5883.67266307924,8550.0,8550.0,1200.0000000000036,10800.000000000005,0.0
2025-07-02,51210.08078426074,24370.13849152416,6963.637219162101,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-07-03,46811.78997165926,33370.22207140764,9167.836766522089,8550.0,2819.195427608942,1200.0000000000027,10800.000000000004,0.0
2025-07-04,20101.978203096995,22912.71783597194,6627.4139884142505,2819.195427608942,3157.8616632346593,1200.0,10800.000000000004,0.0
2025-07-05,22480.956655218615,26100.73214833268,7128.379804873557,3157.8616632346593,8550.0,1199.9999999999977,10800.0,0.0
2025-07-06,50692.24009414214,31600.660975963707,8297.898916393264,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-07-07,51211.394548157856,22616.729383682843,6500.780135943556,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-07-08,57932.53367460519,3958.656986032228,1007.8866187360054,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-07-09,53928.38773717324,4826.7751388084125,1115.3653557843659,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-07-10,56379.8112336285,2217.241533674116,623.3305837251066,8550.0,3713.9974311173864,1199.999999999999,10800.0,0.0
2025-07-11,26788.48365245861,3568.315995129401,1361.0301057436222,3713.9974311173864,3672.1123749284498,1200.000000000001,10800.0,0.0
2025-07-12,29691.950272500726,1375.5331534997204,462.5158409017463,3672.1123749284498,8550.0,1200.0,10800.0,0.0
2025-07-13,59162.72863981921,1143.6831222333365,234.16690000000074,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-07-14,53882.049673306945,2544.9996588154027,485.0389218520531,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-07-15,56563.372439079554,5268.126699362534,1996.655923089259,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-07-16,54429.55755500989,3792.55390221585,1025.520709400535,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-07-17,53077.51787476761,4082.6648320833388,1171.7001666666679,8550.0,5993.702200177135,1199.999999999999,10800.0,0.0
2025-07-18,26528.57171993697,1572.9459454072755,332.2589337995919,5993.702200177135,4011.8113572228494,1200.0000000000036,10800.000000000004,0.0
2025-07-19,29359.626705684546,1097.4315451668404,366.84696600813896,4011.8113572228494,8550.0,1200.0000000000018,10800.0,0.0
2025-07-20,52236.8538585594,4618.622499393781,1521.5758578870173,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-07-21,53501.64309228705,4208.5008187893,1270.7237418035327,8550.0,8550.0,1200.0000000000036,10800.000000000004,0.0
2025-07-22,53407.543762334666,4578.261518105262,1243.3499031105716,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-07-23,53604.30068826571,4299.261711366084,1079.5369070620625,8550.0,8550.0,1200.0,10800.0,0.0
2025-07-24,52164.982894958535,5444.1327120517435,1531.8867412848977,8550.0,4996.772778636564,1199.9999999999982,10800.0,0.0
2025-07-25,25593.907112017292,946.330943132781,267.52824851424805,4996.772778636564,2657.165202362779,1200.0,10800.0,0.0
2025-07-26,29005.429332508735,1642.6658336935202,586.1275349091661,2657.165202362779,8550.0,1200.0000000000005,10800.0,0.0
2025-07-27,53575.52240000853,5186.1873965956565,1331.5276032564957,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-07-28,54878.439419700924,3241.6421858696613,843.0595453698938,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-07-29,54270.32437801956,5896.717630233448,1879.441454499249,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-07-30,55076.82293462022,1476.0499240127997,401.591730354335,8550.0,8550.0,1200.000000000001,10800.000000000004,0.0
2025-07-31,52502.04568521047,5022.191908009165,1127.813823672611,8550.0,3506.4750074176472,1200.0,10800.0,0.0
2025-08-01,25598.743994985063,922.6493073365223,354.76000845096735,3506.4750074176472,3363.574146592209,1200.000000000001,10800.000000000004,0.0
2025-08-02,28904.64224356765,494.884571385091,125.11354261165388,3363.574146592209,8550.0,1200.000000000001,10800.000000000004,0.0
2025-08-03,54678.15552334625,595.8025682135096,174.54496048347335,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-08-04,56933.784085886204,917.4896562718809,304.4262246612989,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-08-05,55648.172914518305,890.6032313202255,250.57992967480175,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-08-06,55297.82043282408,1396.6880381209999,393.2404192599144,8550.0,8550.0,1200.0000000000027,10800.000000000004,0.0
2025-08-07,52796.133089907235,802.5618328403547,275.92662537237186,8550.0,2733.754933823212,1199.9999999999973,10800.0,0.0
2025-08-08,25429.1182332717,1258.0613503308455,332.7898723216171,2733.754933823212,3303.847549272277,1200.0000000000002,10800.0,0.0
2025-08-09,27452.182655869852,1107.8267715866364,376.7253109660992,3303.847549272277,8550.0,1199.9999999999986,10800.0,0.0
2025-08-10,48031.897765631395,5912.072120181605,1620.0979182525668,8550.0,8550.0,1200.0,10800.0,0.0
2025-08-11,49423.94108330885,2198.5236432916645,544.1575666666666,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-08-12,49208.60844659514,4701.31301609055,1102.6649287684052,8550.0,8550.0,1199.9999999999955,10800.0,0.0
