date,interval,hour,actual_net_kw,forecast_net_kw,planned_grid_kw,emergency_kw
2025-03-20,32,5.333333333333333,3642.69,3625.87,3701.37,0.0
2025-03-20,33,5.5,3452.5804,3601.9743,8687.6701,0.0
2025-03-20,34,5.666666666666667,4028.7786999999994,4178.7819,4322.377199999999,0.0
2025-03-20,35,5.833333333333333,4962.09,4976.26,66.29000000000042,0.0
2025-03-20,36,6.0,4751.699600000001,4875.966,0.0,0.0
2025-03-20,37,6.166666666666667,4259.7799,4581.402099999999,0.0,0.0
2025-03-20,38,6.333333333333333,4028.2249999999995,4409.775,0.0,0.0
2025-03-20,39,6.5,3774.2692000000006,3987.4595,446.6180000000054,0.0
2025-03-20,40,6.666666666666667,3516.9354999999996,3560.0534,3599.2528999999995,0.0
2025-03-20,41,6.833333333333333,3187.0925,3215.0025,3258.5374999999995,0.0
2025-03-20,42,7.0,2679.4530000000004,2834.5160000000005,2886.3213000000005,0.0
2025-03-20,43,7.166666666666667,2407.449699999999,2735.2011,2805.4831000000004,0.0
2025-03-20,44,7.333333333333333,2217.4624999999996,2576.6449999999995,2574.4925000000003,0.0
2025-03-20,45,7.5,1684.1412,1842.4560999999999,6869.7288,0.0
2025-03-20,46,7.666666666666667,2007.4684000000002,2265.5290999999997,2378.5300000000007,0.0
2025-03-20,47,7.833333333333333,2929.0775000000003,3341.2199999999993,0.0,0.0
2025-03-20,48,8.0,2896.8230999999996,2755.5168999999996,0.0,0.0
2025-03-20,49,8.166666666666666,2630.228399999999,2108.2379,0.0,278.6537999999989
2025-03-20,50,8.333333333333334,2466.9450000000006,2144.1400000000003,0.0,99.41500000000065
2025-03-20,51,8.5,1996.0330999999987,1991.0354000000002,0.0,0.0
2025-03-20,52,8.666666666666666,1668.0308,1754.0262999999986,0.0,0.0
2025-03-20,53,8.833333333333334,1576.9225000000008,1519.8225000000002,0.0,0.0
2025-03-20,54,9.0,1327.7026,1190.0597000000002,0.0,0.0
2025-03-20,55,9.166666666666666,903.1102000000001,1041.6736000000005,0.0,0.0
2025-03-20,56,9.333333333333334,463.1125000000002,1056.9525000000003,0.0,0.0
2025-03-20,57,9.5,216.56850000000122,953.8176999999998,0.0,0.0
2025-03-20,58,9.666666666666666,247.54409999999916,945.9216000000006,0.0,0.0
2025-03-20,59,9.833333333333334,271.2424999999994,1076.2350000000004,0.0,0.0
2025-03-20,60,10.0,-97.25250000000005,1128.0773999999997,0.0,0.0
2025-03-20,61,10.166666666666666,-328.726799999999,1042.3224999999993,0.0,0.0
2025-03-20,62,10.333333333333334,-405.46499999999924,813.6599999999994,0.0,0.0
2025-03-20,63,10.5,-814.2784000000001,511.42069999999967,0.0,0.0
2025-03-20,64,10.666666666666666,-1103.019400000001,438.4682,764.1723000000011,0.0
2025-03-20,65,10.833333333333334,-983.1000000000008,490.4550000000004,5804.9625,0.0
2025-03-20,66,11.0,-659.6243000000004,273.1137000000008,5653.0646000000015,0.0
2025-03-20,67,11.166666666666666,-659.0469000000012,78.42659999999933,5503.1741999999995,0.0
2025-03-20,68,11.333333333333334,-957.4625000000001,11.985000000001037,5403.062500000001,0.0
2025-03-20,69,11.5,-1081.6056999999992,-130.66280000000097,5492.354799999999,0.0
2025-03-20,70,11.666666666666666,-1255.410699999999,-339.83489999999983,5154.170499999999,0.0
2025-03-20,71,11.833333333333334,-1650.1299999999992,-502.04999999999905,4830.5650000000005,0.0
2025-03-20,72,12.0,-2124.1279000000004,-536.9189999999992,5136.075100000001,0.0
2025-03-20,73,12.166666666666666,-2235.340799999999,-664.6876999999995,5046.636100000001,0.0
2025-03-20,74,12.333333333333334,-1825.7025000000003,-798.2099999999998,4918.5775,0.0
2025-03-20,75,12.5,-1198.9766,-620.7814999999998,5058.6391,0.0
2025-03-20,76,12.666666666666666,-1038.5894000000003,-412.78409999999894,5115.406400000001,0.0
2025-03-20,77,12.833333333333334,-1174.42,-223.20000000000027,67.67499999999882,0.0
2025-03-20,78,13.0,-828.4533999999999,142.17140000000018,0.0,0.0
2025-03-20,79,13.166666666666666,-541.8022999999994,328.46130000000016,644.9827,0.0
2025-03-20,80,13.333333333333334,-570.7124999999992,242.52749999999992,0.0,0.0
2025-03-20,81,13.5,-613.1947,128.5586999999996,0.0,0.0
2025-03-20,82,13.666666666666666,-628.7564000000007,-24.61720000000105,0.0,0.0
2025-03-20,83,13.833333333333334,-519.9299999999985,-109.69999999999914,0.0,0.0
2025-03-20,84,14.0,-170.1313999999993,54.14030000000048,0.0,0.0
2025-03-20,85,14.166666666666666,111.32340000000067,209.49799999999937,0.0,0.0
2025-03-20,86,14.333333333333334,237.10249999999905,319.97749999999974,0.0,0.0
2025-03-20,87,14.5,421.75969999999916,598.0893999999992,0.0,0.0
2025-03-20,88,14.666666666666666,758.1510999999994,925.3178000000003,0.0,0.0
2025-03-20,89,14.833333333333334,1083.8650000000002,1183.8674999999998,6426.290000000002,0.0
2025-03-20,90,15.0,1183.9114000000002,1368.8471000000004,6666.426600000001,0.0
2025-03-20,91,15.166666666666666,1492.8405999999995,1576.7356,1759.3609999999996,0.0
2025-03-20,92,15.333333333333334,2040.8550000000002,1889.4050000000002,2100.535,0.0
2025-03-20,93,15.5,2416.6935999999996,2280.9549999999995,2431.7264999999998,0.0
2025-03-20,94,15.666666666666666,2714.7146999999995,2471.6642000000006,2632.0012000000006,82.71349999999848
2025-03-20,95,15.833333333333334,3043.9450000000006,2603.397499999999,2752.705,291.24000000000046
2025-03-20,96,16.0,3373.569300000001,3097.507,3256.6725000000006,116.89680000000067
2025-03-20,97,16.166666666666668,3594.4033,3573.7266,3770.2785999999996,0.0
2025-03-20,98,16.333333333333332,3784.5374999999995,3875.6024999999995,3995.67,0.0
2025-03-20,99,16.5,4132.4133,4216.1543,4311.7458,0.0
2025-03-20,100,16.666666666666668,4456.345699999999,4572.381899999999,4653.0554999999995,0.0
2025-03-20,101,16.833333333333332,4724.477499999999,4954.414999999999,5094.4349999999995,0.0
2025-03-20,102,17.0,5059.394700000001,5364.9768,5472.707200000001,0.0
2025-03-20,103,17.166666666666668,5243.1311000000005,5425.040799999999,5429.016999999998,0.0
2025-03-20,104,17.333333333333332,5428.3425,5462.105,5547.654999999999,0.0
2025-03-20,105,17.5,5838.5445,6044.2285,6130.5735,0.0
2025-03-20,106,17.666666666666668,5238.0191,5593.1082,5711.755499999999,0.0
2025-03-20,107,17.833333333333332,4094.1199999999994,4339.62,4539.48,0.0
2025-03-20,108,18.0,4187.9837,4184.4012999999995,4294.928400000001,0.0
