date,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_energy_kwh,grid_energy_kwh,minimum_soc_kwh,solve_seconds
2025-03-29,13421.92388456405,722.3184480885607,4267.512229130301,18411.754561782913,1039.8315196347053,27542.712262857065,1200.0,0.4026944999350235
2025-03-30,41042.0055642364,-2090.9761014000524,11936.647901638898,50887.67736447525,3029.5651963761647,62760.41851176611,1199.999999999999,0.36966450011823326
2025-03-31,33946.42138880855,5632.600801445365,8783.856362060083,48362.878552313996,2248.807097161725,60353.72263951336,1199.9999999999998,0.4118410999653861
2025-04-01,41067.584086878225,-490.62160817730495,5507.852366874847,46084.81484557577,1578.6130310877636,65413.52301071799,1200.0000000000018,0.4270393999759108
2025-04-02,39026.86172924221,1013.7581646162594,6415.272629778772,46455.892523637245,1621.6457271733968,65273.08621929599,1200.0,0.2674040999263525
2025-04-03,40384.100195117564,-1542.1720600881492,4867.166552592843,43709.09468762225,1326.6032414936105,61071.63791401637,1200.000000000001,0.34459510003216565
2025-04-04,11353.166504208592,427.07441215992765,4565.906258991161,16346.14717535968,1209.6660763735065,22517.75407931188,1200.0000000000002,0.3716254001483321
2025-04-05,12986.85682622694,837.6532471985153,11337.84420216623,25162.354275591686,2858.660115239742,26838.79567363628,1200.0,0.3185179999563843
2025-04-06,39593.08331769586,630.5100963713286,5347.065691072836,45570.659105140025,1392.245910467187,65573.61988548603,1200.0000000000005,0.45479689992498606
2025-04-07,32467.823280914068,2666.844928725345,8126.4887699859855,43261.1569796254,2116.06587501934,56695.794061379405,1200.0000000000023,0.30835900001693517
2025-04-08,38397.28935547361,-1360.9819213393653,8556.463727989085,45592.77116212333,1959.5849654053795,58800.26646216071,1200.0000000000007,0.32752439996693283
2025-04-09,37272.09212103858,906.9033908357134,6858.736538366575,45037.73205024087,1739.4363912262966,63735.357298058916,1200.0000000000018,0.4006377001060173
2025-04-10,36688.935323680445,-107.42180670105154,8501.208414598328,45082.72193157772,1965.3200273845582,59360.42706822338,1200.0000000000005,0.33197699999436736
2025-04-11,9999.110183956665,709.2030492097072,8700.84668732979,19409.15992049616,2174.7153129100743,20299.193025775705,1200.0,0.3804313999135047
2025-04-12,13614.71546035383,-148.87503450970638,4375.376345046067,17841.21677089019,1194.4073664843047,26523.67461288791,1200.0,0.7064891001209617
2025-04-13,36816.39803818404,1162.3691638055075,8769.558236924178,46748.32543891373,2178.1255016069153,63904.10773408496,1200.0000000000011,0.3248721999116242
2025-04-14,36326.307118549405,-1037.251297870017,13115.014619186546,48404.07043986593,3301.5773677459506,55117.05798373645,1200.0000000000005,0.5003082000184804
2025-04-15,31212.828173206628,2821.800164525381,7214.1338591560025,41248.76219688801,1701.1138471930358,53865.42472069939,1200.0000000000014,0.7014999999664724
2025-04-16,34958.319265301114,2002.441074986654,8379.688862775842,45340.4492030636,2178.3608461942417,59590.66394250587,1200.0000000000023,0.30452960007824004
2025-04-17,32046.818274411085,3090.8593969627223,8559.60928936714,43697.286960740945,2025.2352273807683,55680.62361594384,1199.9999999999998,0.42965609987732023
2025-04-18,10540.009060341294,197.12219265459345,8846.185908602747,19583.317161598636,2188.108194928661,21230.42669418412,1200.0,0.4577246999833733
2025-04-19,11809.20440206596,933.8142840529345,5946.523387390895,18689.542073509787,1523.8474892054933,25290.477610688315,1200.0000000000005,0.5603731999872252
2025-04-20,35084.168589833746,1414.7008292281243,8391.290570855781,44890.15998991765,2274.36600855958,62104.803924203516,1200.0000000000011,0.39917979994788766
2025-04-21,34433.58675620485,-587.200284752539,9821.330993410797,43667.71746486311,2660.325918397291,54042.18736310539,1200.0,0.34647260000929236
