date,q42_total_cost_yuan,q42_planned_cost_yuan,q42_adjustment_cost_yuan,q42_emergency_cost_yuan,q42_emergency_energy_kwh,q42_minimum_soc_kwh,q43_total_cost_yuan,q43_planned_cost_yuan,q43_adjustment_cost_yuan,q43_emergency_cost_yuan,q43_emergency_energy_kwh,q43_minimum_soc_kwh,pi42_total_cost_yuan,pi42_planned_cost_yuan,pi42_adjustment_cost_yuan,pi42_emergency_cost_yuan,pi42_emergency_energy_kwh,pi42_minimum_soc_kwh,pi43_total_cost_yuan,pi43_planned_cost_yuan,pi43_adjustment_cost_yuan,pi43_emergency_cost_yuan,pi43_emergency_energy_kwh,pi43_minimum_soc_kwh
2025-08-21,61407.27843195543,56812.66322404389,0.0,4594.615207911534,1029.6243834435209,1200.0,64721.79672321679,52724.617550389485,308.06579001998614,11689.113382807314,2728.208205776655,1200.000000000002,60905.859502350795,56349.74660543926,0.0,4556.112896911534,1019.3213834435209,1200.0,64703.91849933303,52685.51006888375,329.29504764196486,11689.113382807313,2728.2082057766547,1200.0000000000011
2025-08-22,26557.158626364657,23175.129347778515,0.0,3382.029278586141,876.4574224344948,1200.0,30678.646732735928,21547.47167490447,-148.40098272288867,9279.576040554342,2390.9081589720586,1200.0,26686.81081239257,23257.881621165074,0.0,3428.929191227498,888.8150576648752,1200.0,30473.006342177134,21347.62028166274,-154.18998003995273,9279.576040554342,2390.908158972058,1199.9999999999923
2025-08-23,24411.320185372446,23238.79034166302,0.0,1172.5298437094234,447.61968102780315,1200.0,27030.504771929645,20839.82751868626,1094.6531178521307,5096.024135391256,1557.0089049356202,1199.9999999999966,28311.611459926706,27221.888070198187,0.0,1089.7233897285173,398.5574012818014,1200.0,26921.04740652113,20730.29425663261,1094.7290144972646,5096.024135391257,1557.0089049356202,1199.999999999997
2025-08-24,60490.53041083394,55722.18965364774,0.0,4768.340757186195,1033.6798640313812,1200.0,65660.2895707361,51126.71707613261,3939.850455776094,10593.722038827398,2420.906851435451,1200.0,56691.96347627821,51972.47287635888,0.0,4719.490599919329,1015.9676967845114,1200.0,65546.95995927395,51343.40724651465,3910.8829031620585,10292.66980959725,2362.118506114313,1200.0000000000002
2025-08-25,69356.70895215712,56259.65801794021,0.0,13097.050934216915,3629.037139629606,1200.0,71935.60291183583,65010.752800615555,-5387.1794803734365,12312.029591593717,2581.3711354852153,1199.9999999999977,67897.7156720391,55079.36113660646,0.0,12818.354535432654,3567.580163629997,1200.0,71139.03678169844,64229.26132794943,-5402.254137844714,12312.029591593717,2581.371135485215,1200.0000000000002
2025-08-26,60146.90154632798,55270.20252656212,0.0,4876.699019765858,1029.5373922983076,1200.0,61000.27801069559,51482.19195589001,1527.7527863502617,7990.333268455316,1800.7955117973443,1199.9999999999977,58831.58539697919,54472.0753408429,0.0,4359.510056136293,926.0906026811654,1200.0,59951.87255959898,50691.82252174188,1571.5889632398075,7688.461074617289,1729.2158673024708,1200.0000000000002
2025-08-27,63576.07219003109,59634.40244814815,0.0,3941.6697418829453,854.0378297109701,1200.0,64840.09820965813,52104.23063132666,5495.747246002475,7240.120332328999,1445.3198191629772,1199.9999999999998,62917.23601861874,58975.5662767358,0.0,3941.669741882946,854.0378297109702,1200.0,64016.86078528775,51325.2266130434,5451.513839915347,7240.120332329001,1445.319819162978,1200.0000000000002
2025-08-28,68022.19875247532,56446.10185180351,0.0,11576.096900671815,2598.8064126918875,1200.0,71401.28505502036,49829.07519053295,6865.552136853163,14706.657727634249,3077.617159001453,1199.9999999999989,67428.91430512659,55600.27985180498,0.0,11828.634453321603,2646.716854561583,1200.0,71367.74954628618,49793.83258403481,6867.259234617126,14706.65772763425,3077.617159001453,1199.9999999999998
2025-08-29,26912.866401261377,23436.25706036138,0.0,3476.6093409,904.2395333333336,1200.0,28548.426897528017,22909.782098783886,90.65438830043729,5547.990410443694,1372.734043934168,1199.9999999999995,26862.319125158945,23695.953310883742,0.0,3166.3658142752047,832.479379835391,1200.0,28186.190057476055,22547.54525873192,90.65438830043848,5547.990410443697,1372.7340439341685,1200.0000000000005
2025-08-30,25358.679800428996,23616.8969161196,0.0,1741.7828843093966,482.1682177788911,1200.0,28263.216975592615,22430.004388049467,-172.04930847548616,6005.261896018632,1654.1074049583838,1199.9999999999995,27889.79596287412,26223.65392380939,0.0,1666.1420390647281,459.2456944537615,1200.0,28085.58938574131,22247.595647549104,-167.26815782642842,6005.261896018632,1654.107404958384,1199.999999999999
2025-08-31,60512.973632274494,55284.0073369233,0.0,5228.966295351193,1660.1435172019553,1200.0,63833.234374303414,50343.13213546503,2027.3997186990323,11462.702520139354,2538.898408315377,1200.0,57055.68833199951,51839.02970770498,0.0,5216.658624294523,1655.2616161219712,1200.0,63665.82759790122,50348.124193800824,1855.0008839610416,11462.702520139354,2538.8984083153764,1199.999999999999
2025-09-01,52995.279475160016,52995.279475160016,0.0,0.0,0.0,1200.0,49703.34496423489,49531.5887044535,-1912.4708887851334,2084.227148566525,458.71298966486086,1200.0,53982.545924633625,53982.545924633625,0.0,0.0,0.0,1200.0,50078.513541656306,49898.92113763251,-1905.5447577699695,2085.137161793762,458.7129896648602,1199.9999999999993
2025-09-02,50824.571371105056,50382.80144466339,0.0,441.7699264416676,119.6082333333336,1200.0,50527.64524311721,44463.31408378297,113.94124990079945,5950.389909433437,1241.631019291181,1200.0,50299.75910481454,49781.60256787905,0.0,518.1565369354962,139.1231256629316,1200.0,50701.58195006682,44678.20423471833,72.98780591505351,5950.389909433443,1241.631019291182,1200.0000000000014
2025-09-03,53854.4007929819,53804.039692798564,0.0,50.36110018333173,13.251616666666223,1200.0,51305.52240574648,48616.40554514169,-2580.8733698813326,5269.990230486114,1198.047638888889,1200.0,51671.76772905661,51621.40662887328,0.0,50.36110018333214,13.251616666666337,1200.0,49336.21813741636,46678.64291497195,-2643.733520266695,5301.308742711112,1206.6362888888889,1200.0000000000023
2025-09-04,54314.37985545301,53884.97103028634,0.0,429.4088251666671,110.64328333333344,1200.0,52155.34916457872,47890.16675774342,-3669.5066654466473,7934.689072281953,2073.1654444444457,1199.9999999999973,53092.39023789368,52662.98141272701,0.0,429.4088251666671,110.64328333333344,1200.0,50520.391201725535,47126.91010410011,-3297.697484973178,6691.178582598602,1794.3903861111094,1199.9999999999925
2025-09-05,20747.09709692491,20747.09709692491,0.0,0.0,0.0,1200.0,21425.587258290307,18924.071751845317,-2625.206515692498,5126.722022137487,1202.1602333333303,1200.0,20928.42246266028,20928.42246266028,0.0,0.0,0.0,1200.0,21330.70947137616,18592.55924361945,-2600.6874886849478,5338.837716441658,1299.1549444444413,1199.9999999999993
